pageId	url	title	lastModified	fetchedAt	size	statusCode	fetched	htmlSnapshot	textSnapshot	lastError
96	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/84.html	The Powerpuff Girls Movie (2002)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.7026304Z	8532	200	true	pages\html\page-0096.html	pages\text\page-0096.txt	
97	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/85.html	Elfen Lied (2005)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.7385297Z	3668	200	true	pages\html\page-0097.html	pages\text\page-0097.txt	
98	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/86.html	Iron Monkey 2 (1996)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.7701752Z	3631	200	true	pages\html\page-0098.html	pages\text\page-0098.txt	
99	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/87.html	Louder Than Bombs (2002)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.7858639Z	5523	200	true	pages\html\page-0099.html	pages\text\page-0099.txt	
100	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/88.html	Record of Lodoss War: Chronicles of the Heroic Knight (1998)	2023-05-16T05:03:42Z	2026-04-23T11:05:26.8195013Z	9657	200	true	pages\html\page-0100.html	pages\text\page-0100.txt	
101	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/89.html	Chain of Command (2000)	2023-05-16T05:03:44Z	2026-04-23T11:05:26.8529681Z	7134	200	true	pages\html\page-0101.html	pages\text\page-0101.txt	
102	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/90.html	The Lemon Drop Kid (1951)	2023-05-16T05:03:44Z	2026-04-23T11:05:26.9036996Z	4072	200	true	pages\html\page-0102.html	pages\text\page-0102.txt	
103	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/91.html	WWE: Royal Rumble 2005 (2005)	2023-05-16T05:03:44Z	2026-04-23T11:05:26.9193799Z	3169	200	true	pages\html\page-0103.html	pages\text\page-0103.txt	
104	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/92.html	ECW: Cyberslam '99 (2002)	2023-05-16T05:03:44Z	2026-04-23T11:05:26.9684342Z	4530	200	true	pages\html\page-0104.html	pages\text\page-0104.txt	
105	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/93.html	They Came Back (2004)	2023-05-16T05:03:44Z	2026-04-23T11:05:26.9860578Z	3504	200	true	pages\html\page-0105.html	pages\text\page-0105.txt	
106	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/94.html	G3: Live in Concert (2000)	2023-05-16T05:03:44Z	2026-04-23T11:05:27.0194342Z	5093	200	true	pages\html\page-0106.html	pages\text\page-0106.txt	
107	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/95.html	Dona Herlinda and Her Son (1985)	2023-05-16T05:03:44Z	2026-04-23T11:05:27.0530972Z	5579	200	true	pages\html\page-0107.html	pages\text\page-0107.txt	
108	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/96.html	Inside the Space Station (2000)	2023-05-16T05:03:44Z	2026-04-23T11:05:27.0863556Z	4846	200	true	pages\html\page-0108.html	pages\text\page-0108.txt	
109	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/97.html	Mostly Martha (2002)	2023-05-16T05:03:44Z	2026-04-23T11:05:27.1353525Z	2840	200	true	pages\html\page-0109.html	pages\text\page-0109.txt	
110	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/98.html	The Battle of Algiers: Bonus Material (1965)	2023-05-16T05:03:44Z	2026-04-23T11:05:27.1529501Z	2832	200	true	pages\html\page-0110.html	pages\text\page-0110.txt	
111	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/99.html	A Fishy Story (1989)	2023-05-16T05:03:44Z	2026-04-23T11:05:27.1866391Z	3271	200	true	pages\html\page-0111.html	pages\text\page-0111.txt	
112	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/100.html	Sam the Iron Bridge (1993)	2023-05-16T05:03:16Z	2026-04-23T11:05:27.2198867Z	4110	200	true	pages\html\page-0112.html	pages\text\page-0112.txt	
113	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/101.html	Complete Shamanic Princess (1997)	2023-05-16T05:03:16Z	2026-04-23T11:05:27.2558201Z	3166	200	true	pages\html\page-0113.html	pages\text\page-0113.txt	
114	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/102.html	Notre Musique (2004)	2023-05-16T05:03:16Z	2026-04-23T11:05:27.286832Z	10796	200	true	pages\html\page-0114.html	pages\text\page-0114.txt	
115	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/103.html	Sanford and Son: Season 6 (1976)	2023-05-16T05:03:16Z	2026-04-23T11:05:27.3227275Z	3771	200	true	pages\html\page-0115.html	pages\text\page-0115.txt	
116	https://www.cse.ust.hk/~kwtleung/COMP4321/Movie/104.html	The Great Race (1965)	2023-05-16T05:03:16Z	2026-04-23T11:05:27.3532837Z	3678	200	true	pages\html\page-0116.html	pages\text\page-0116.txt	
